N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.8533757809233056,True,False,1.3152287605280906,0.46185297960478494,"[0.8930782700374117, 0.858028885110326, 0.8090201876221791]","[1.3220363618776434, 1.316725829602129, 1.3069240901044994]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.727851502456748,True,False,1.2997077288101606,0.5718562263534126,"[0.7959766165371426, 0.7364620608022536, 0.6511158300308479]","[1.3114091371348313, 1.302391647724966, 1.2853224015706848]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.6204513328145506,True,False,1.2864075657477898,0.6659562329332392,"[0.7080727197718115, 0.6323405866722234, 0.5209406919996168]","[1.3014841899470015, 1.2900092431154446, 1.2677292641809232]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.528610146347711,True,False,1.2750155909851275,0.7464054446374165,"[0.6287279153979826, 0.5431357275576778, 0.41396679608747267]","[1.2922730418142137, 1.279303758717605, 1.253469972423564]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,0.4501181415238589,True,False,1.265262362925158,0.8151442214012992,"[0.5573028193292535, 0.4666867357393909, 0.32636486950293186]","[1.2837711469551458, 1.2700401575338098, 1.2419757842865182]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.38307274383594425,True,False,1.2569158176144226,0.8738430737784784,"[0.4931691711068962, 0.4011475134200092, 0.2549015469809278]","[1.27596191956837, 1.2620173632813572, 1.2327681699935409]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.3258368603929913,True,False,1.2497761847955937,0.9239393244026024,"[0.4357185977082356, 0.3449409132731859, 0.19685107019755255]","[1.2688199961882543, 1.2550632634068268, 1.2254452947917003]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.27700266919115923,True,False,1.2436715805391525,0.9666689113479933,"[0.38436888547502435, 0.2967196041959843, 0.14991951790246882]","[1.2623138603834305, 1.2490304492463649, 1.2196704319876617]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.23536022825202352,True,False,1.2384541885456002,1.0030939602935767,"[0.33856825063332574, 0.25533257633805695, 0.11217985778468753]","[1.2564079376109767, 1.2437925858682488, 1.215162042157575]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.19987027959634895,True,False,1.233996953338228,1.034126673741879,"[0.2977980163377807, 0.21979648689067344, 0.08201633556059251]","[1.2510642513885537, 1.2392413194460732, 1.211685289180057]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.6485675233069419,False,False,0.981314131155554,0.33274660784861215,"[0.6602316874430401, 0.6602316874430401, 0.6427777686446026, 0.6310289496970845]","[0.982564327403701, 0.982564327403701, 0.9740179698145014, 0.9861099000003122]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.5605068695929329,False,False,0.9661164076662165,0.4056095380732836,"[0.5809021160008314, 0.5809021160008316, 0.5504587067221072, 0.5297645396479618]","[0.967920522687411, 0.9679205226874111, 0.9533512353413416, 0.9752733499487026]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.4841013312933434,False,False,0.9538806847071337,0.46977935341379035,"[0.5108309948144679, 0.5108309948144683, 0.47103316000699774, 0.44371017553743974]","[0.9557187149984384, 0.9557187149984386, 0.9371456656627473, 0.9669396431689106]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,-0.032181703202849965,False,False,0.944151696006347,0.9763333992091969,"[0.4453089291512703, -0.18524564182243286, -0.19988882757944293, -0.18890127256079392]","[0.9456465225205133, 0.9456465225205133, 0.9246686578977003, 0.9606450810866611]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,-0.0362353846360044,False,False,0.936536219762726,0.9727716043987304,"[-0.16163054687878875, 0.3533832926142494, -0.17484723056178764, -0.16184705371769037]","[0.9374256124389307, 0.937425612438931, 0.9152931573863321, 0.9560004967867106]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,-0.039157391356070215,False,False,0.9306952789583958,0.969852670314466,"[-0.14176720610344273, 0.27546560769761985, -0.1525299770025348, -0.13779799001592297]","[0.9308085114515341, 0.9308085114515342, 0.9084836580375026, 0.9526804348930122]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,-0.04112896199614546,False,False,0.9263372614984153,0.9674662234945608,"[0.20969397938040857, -0.12505330825714378, -0.13267583956286055, -0.11648067954498587]","[0.925575657391885, 0.9255756573918851, 0.9037839493778789, 0.9504137818320127]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,-0.04230738932197031,False,False,0.9232118576437429,0.9655192469657132,"[0.15443353330775234, -0.11097737157758325, -0.11504484798803061, -0.09764087103001984]","[0.9215326813743556, 0.9215326813743558, 0.9008064031433436, 0.9489756646829166]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,-0.04282883946851834,False,False,0.9211047230369449,0.9639335625054632,"[-0.0991059939033836, 0.10825050067431263, -0.09941705222846409, -0.08104281241653855]","[0.9185079090730865, 0.9185079090730864, 0.899222615719383, 0.9481804582822235]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,-0.04281086843610726,False,False,0.9198327853701681,0.9626436538062754,"[0.06988909718264236, -0.08907277915194334, -0.08559128070886324, -0.06646851106626528]","[0.9163500692501471, 0.9163500692501471, 0.8987552436620194, 0.9478757593183587]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.37500000000000033,False,True,1.0000000000000004,0.6250000000000001,"[0.37500000000000033, 0.37500000000000033, 0.37500000000000033, 0.37500000000000033]","[1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.24404933926742678,False,False,0.9968543154137894,0.7528049761463627,"[0.20309773654640662, 0.2158432026134568, 0.28410630215561417, 0.27315011575422976]","[0.994571028401064, 0.9861885788843003, 1.0029973026238368, 1.003660351745957]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.16257463206677036,False,False,0.9915718421550361,0.8289972100882658,"[0.11233725609142187, 0.12601097172373055, 0.21330223212416732, 0.19864806832776227]","[0.9935023473068483, 0.9804897980449725, 0.9957948471918178, 0.9965003760765062]",fixed,,,,
